unit_code,unit_name,unit_name_combined
JODA,John Day Fossil Beds National Monument,John Day Fossil Beds National Monument (JODA)
JOFI,John Fitzgerald Kennedy National Historic Site,John Fitzgerald Kennedy National Historic Site (JOFI)
JOMU,John Muir National Historic Site,John Muir National Historic Site (JOMU)
JOFL,Johnstown Flood National Memorial,Johnstown Flood National Memorial (JOFL)
JOTR,Joshua Tree National Park,Joshua Tree National Park (JOTR)
KALA,Kalaupapa National Historical Park,Kalaupapa National Historical Park (KALA)
KAHO,Kaloko-Honokohau National Historical Park,Kaloko-Honokohau National Historical Park (KAHO)
KAWW,Katahdin Woods and Waters National Monument,Katahdin Woods and Waters National Monument (KAWW)
KATM,Katmai National Park and Presever,Katmai National Park and Presever (KATM)
KEFJ,Kenai Fjords National Park,Kenai Fjords National Park (KEFJ)
KEMO,Kennesaw Mountain National Battlefield Park,Kennesaw Mountain National Battlefield Park (KEMO)
KEWE,Keweenaw National Historical Park,Keweenaw National Historical Park (KEWE)
KICA,Kings Canyon National Park,Kings Canyon National Park (KICA)
KIMO,Kings Mountain National Military Park,Kings Mountain National Military Park (KIMO)
KLGO,Klondike Gold Rush National Historical Park,Klondike Gold Rush National Historical Park (KLGO)
KNRI,Knife River Indian Villages National Historic Site,Knife River Indian Villages National Historic Site (KNRI)
KOVA,Kobuk Valley National Park,Kobuk Valley National Park (KOVA)
KOWA,Korean War Veterans Memorial,Korean War Veterans Memorial (KOWA)
LACH,Lake Chelan National Recreation Area,Lake Chelan National Recreation Area (LACH)
LACL,Lake Clark National Park and Preserve,Lake Clark National Park and Preserve (LACL)
LAKE,Lake Mead National Recreation Area,Lake Mead National Recreation Area (LAKE)
LAMR,Lake Meredith National Recreation Area,Lake Meredith National Recreation Area (LAMR)
LARO,Lake Roosevelt National Recreation Area,Lake Roosevelt National Recreation Area (LARO)
LAVO,Lassen Volcanic National Park,Lassen Volcanic National Park (LAVO)
LABE,Lava Beds National Monument,Lava Beds National Monument (LABE)
LECL,Lewis and Clark National Historic Trail,Lewis and Clark National Historic Trail (LECL)
LEWI,Lewis and Clark National Historical Park,Lewis and Clark National Historical Park (LEWI)
LIBO,Lincoln Boyhood National Memorial,Lincoln Boyhood National Memorial (LIBO)
LIHO,Lincoln Home National Historic Site,Lincoln Home National Historic Site (LIHO)
LINC,Lincoln Memorial,Lincoln Memorial (LINC)
LIBI,Little Bighorn Battlefield National Monument,Little Bighorn Battlefield National Monument (LIBI)
LIRI,Little River Canyon National Preserve,Little River Canyon National Preserve (LIRI)
CHSC,Little Rock Central High School National Historic Site,Little Rock Central High School National Historic Site (CHSC)
LONG,Longfellow House-Washington's Headquarters National Historic Site,Longfellow House-Washington's Headquarters National Historic Site (LONG)
LOWE,Lowell National Historical Park,Lowell National Historical Park (LOWE)
LOSA,Lower Saint Croix National Scenic Riverway,Lower Saint Croix National Scenic Riverway (LOSA)
LYJO,Lyndon B. Johnson National Historical Park,Lyndon B. Johnson National Historical Park (LYJO)
LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,Lyndon Baines Johnson Memorial Grove on the Potomac (LYBA)
MAWA,Maggie L. Walker National Historic Site,Maggie L. Walker National Historic Site (MAWA)
MACA,Mammoth Cave National Park,Mammoth Cave National Park (MACA)
MANA,Manassas National Battlefield Park,Manassas National Battlefield Park (MANA)
MAPR,Manhattan Project National Historical Park,Manhattan Project National Historical Park (MAPR)
MANZ,Manzanar National Historic Site,Manzanar National Historic Site (MANZ)
MABI,Marsh-Billings-Rockefeller National Historical Park,Marsh-Billings-Rockefeller National Historical Park (MABI)
MLKM,"Martin Luther King, Jr., Memorial","Martin Luther King, Jr., Memorial (MLKM)"
MALU,"Martin Luther King, Jr., National Historical Park","Martin Luther King, Jr., National Historical Park (MALU)"
MAVA,Martin Van Buren National Historic Site,Martin Van Buren National Historic Site (MAVA)
MABE,Mary McLeod Bethune Council House National Historic Site,Mary McLeod Bethune Council House National Historic Site (MABE)
MEMY,Medgar and Myrlie Evers Home National Monument,Medgar and Myrlie Evers Home National Monument (MEMY)
MEVE,Mesa Verde National Park,Mesa Verde National Park (MEVE)
DELA,Middle Delaware National Scenic River,Middle Delaware National Scenic River (DELA)
MISP,Mill Springs Battlefield National Monument,Mill Springs Battlefield National Monument (MISP)
MIIN,Minidoka National Historic Site,Minidoka National Historic Site (MIIN)
MIMA,Minute Man National Historical Park,Minute Man National Historical Park (MIMA)
MIMI,Minuteman Missile National Historic Site,Minuteman Missile National Historic Site (MIMI)
MISS,Mississippi National River and Recreation Area,Mississippi National River and Recreation Area (MISS)
MNRR,Missouri National Recreational River,Missouri National Recreational River (MNRR)
MOJA,Mojave National Preserve,Mojave National Preserve (MOJA)
MONO,Monocacy National Battlefield,Monocacy National Battlefield (MONO)
MOCA,Montezuma Castle National Monument,Montezuma Castle National Monument (MOCA)
MOCR,Moores Creek National Battlefield,Moores Creek National Battlefield (MOCR)
MORR,Morristown National Historical Park,Morristown National Historical Park (MORR)
MORA,Mount Rainier National Park,Mount Rainier National Park (MORA)
MORU,Mount Rushmore National Memorial,Mount Rushmore National Memorial (MORU)
MUWO,Muir Woods National Monument,Muir Woods National Monument (MUWO)
NATC,Natchez National Historical Park,Natchez National Historical Park (NATC)
NATR,Natchez Trace Parkway,Natchez Trace Parkway (NATR)
NACA,National Capital Parks,National Capital Parks (NACA)
MALL,National Mall,National Mall (MALL)
NPSA,National Park of American Samoa,National Park of American Samoa (NPSA)
NABR,Natural Bridges National Monument,Natural Bridges National Monument (NABR)
NAVA,Navajo National Monument,Navajo National Monument (NAVA)
NEBE,New Bedford Whaling National Historical Park,New Bedford Whaling National Historical Park (NEBE)
NEEN,New England National Scenic Trail,New England National Scenic Trail (NEEN)
JAZZ,New Orleans Jazz National Historical Park,New Orleans Jazz National Historical Park (JAZZ)
NEPH,New Philadelphia National Historic Site,New Philadelphia National Historic Site (NEPH)
NERI,New River Gorge National Park and Preserve,New River Gorge National Park and Preserve (NERI)
NEPE,Nez Perce National Historical Park,Nez Perce National Historical Park (NEPE)
NICO,Nicodemus National Historic Site,Nicodemus National Historic Site (NICO)
NISI,Ninety Six National Historic Site,Ninety Six National Historic Site (NISI)
NIOB,Niobrara National Scenic River,Niobrara National Scenic River (NIOB)
NOAT,Noatak National Preserve,Noatak National Preserve (NOAT)
NOCA,North Cascades National Park,North Cascades National Park (NOCA)
NOCO,North Country National Scenic Trail,North Country National Scenic Trail (NOCO)
OBRI,Obed Wild and Scenic River,Obed Wild and Scenic River (OBRI)
OCMU,Ocmulgee Mounds National Historical Park,Ocmulgee Mounds National Historical Park (OCMU)
OLYM,Olympic National Park,Olympic National Park (OLYM)
ORCA,Oregon Caves National Monument and Preserve,Oregon Caves National Monument and Preserve (ORCA)
ORPI,Organ Pipe Cactus National Monument,Organ Pipe Cactus National Monument (ORPI)
OZAR,Ozark National Scenic Riverways,Ozark National Scenic Riverways (OZAR)
PAIS,Padre Island National Seashore,Padre Island National Seashore (PAIS)
PAAL,Palo Alto Battlefield National Historical Park,Palo Alto Battlefield National Historical Park (PAAL)
PAGR,Paterson Great Falls National Historical Park,Paterson Great Falls National Historical Park (PAGR)
PERI,Pea Ridge National Military Park,Pea Ridge National Military Park (PERI)
PERL,Pearl Harbor National Memorial,Pearl Harbor National Memorial (PERL)
PECO,Pecos National Historical Park,Pecos National Historical Park (PECO)
PAAV,Pennsylvania Avenue National Historic Site,Pennsylvania Avenue National Historic Site (PAAV)
PEVI,Perry's Victory and International Peace Memorial,Perry's Victory and International Peace Memorial (PEVI)
PETE,Petersburg National Battlefield,Petersburg National Battlefield (PETE)
PEFO,Petrified Forest National Park,Petrified Forest National Park (PEFO)
PETR,Petroglyph National Monument,Petroglyph National Monument (PETR)
PIRO,Pictured Rocks National Lakeshore,Pictured Rocks National Lakeshore (PIRO)
PINN,Pinnacles National Park,Pinnacles National Park (PINN)
PISP,Pipe Spring National Monument,Pipe Spring National Monument (PISP)
PIPE,Pipestone National Monument,Pipestone National Monument (PIPE)
PISC,Piscataway Park,Piscataway Park (PISC)
PORE,Point Reyes National Seashore,Point Reyes National Seashore (PORE)
POCH,Port Chicago Naval Magazine National Memorial,Port Chicago Naval Magazine National Memorial (POCH)
POPO,Poverty Point National Monument,Poverty Point National Monument (POPO)
WICL,President William Jefferson Clinton Birthplace Home National Historic Site,President William Jefferson Clinton Birthplace Home National Historic Site (WICL)
PRWI,Prince William Forest Park,Prince William Forest Park (PRWI)
PUHO,Pu'uhonua o Honaunau National Historical Park,Pu'uhonua o Honaunau National Historical Park (PUHO)
PUHE,Pu'ukohola Heiau National Historic Site,Pu'ukohola Heiau National Historic Site (PUHE)
PULL,Pullman National Historical Park,Pullman National Historical Park (PULL)
RABR,Rainbow Bridge National Monument,Rainbow Bridge National Monument (RABR)
REER,Reconstruction Era National Historical Park,Reconstruction Era National Historical Park (REER)
REDW,Redwood National Park,Redwood National Park (REDW)
RICH,Richmond National Battlefield Park,Richmond National Battlefield Park (RICH)
RIGR,Rio Grande Wild and Scenic River,Rio Grande Wild and Scenic River (RIGR)
RIRA,River Raisin National Battlefield Park,River Raisin National Battlefield Park (RIRA)
ROCR,Rock Creek Park,Rock Creek Park (ROCR)
ROMO,Rocky Mountain National Park,Rocky Mountain National Park (ROMO)
ROWI,Roger Williams National Memorial,Roger Williams National Memorial (ROWI)
RRBH,Ronald Reagan Boyhood Home National Historic Site,Ronald Reagan Boyhood Home National Historic Site (RRBH)
RORI,Rosie the Riveter/World War II Home Front National Historical Park,Rosie the Riveter/World War II Home Front National Historical Park (RORI)
ROLA,Ross Lake National Recreation Area,Ross Lake National Recreation Area (ROLA)
RUCA,Russell Cave National Monument,Russell Cave National Monument (RUCA)
SAHI,Sagamore Hill National Historic Site,Sagamore Hill National Historic Site (SAHI)
SAGU,Saguaro National Park,Saguaro National Park (SAGU)
SACR,Saint Croix Island International Historic Site,Saint Croix Island International Historic Site (SACR)
SACN,Saint Croix National Scenic Riverway,Saint Croix National Scenic Riverway (SACN)
SAPA,Saint Paul's Church National Historic Site,Saint Paul's Church National Historic Site (SAPA)
SAGA,Saint-Gaudens National Historical Park,Saint-Gaudens National Historical Park (SAGA)
SAMA,Salem Maritime National Historic Site,Salem Maritime National Historic Site (SAMA)
SAPU,Salinas Pueblo Missions National Monument,Salinas Pueblo Missions National Monument (SAPU)
SARI,Salt River Bay National Historical Park and Ecological Preserve,Salt River Bay National Historical Park and Ecological Preserve (SARI)
SAAN,San Antonio Missions National Historical Park,San Antonio Missions National Historical Park (SAAN)
SAFR,San Francisco Maritime National Historical Park,San Francisco Maritime National Historical Park (SAFR)
SAJH,San Juan Island National Historical Park,San Juan Island National Historical Park (SAJH)
SAJU,San Juan National Historic Site,San Juan National Historic Site (SAJU)
SAND,Sand Creek Massacre National Historic Site,Sand Creek Massacre National Historic Site (SAND)
SAMO,Santa Monica Mountains National Recreation Area,Santa Monica Mountains National Recreation Area (SAMO)
SARA,Saratoga National Historical Park,Saratoga National Historical Park (SARA)
SAIR,Saugus Iron Works National Historic Site,Saugus Iron Works National Historic Site (SAIR)
SCBL,Scotts Bluff National Monument,Scotts Bluff National Monument (SCBL)
SEMO,Selma to Montgomery National Historic Trail,Selma to Montgomery National Historic Trail (SEMO)
SEQU,Sequoia National Park,Sequoia National Park (SEQU)
SHEN,Shenandoah National Park,Shenandoah National Park (SHEN)
SHIL,Shiloh National Military Park,Shiloh National Military Park (SHIL)
SITK,Sitka National Historical Park,Sitka National Historical Park (SITK)
SLBE,Sleeping Bear Dunes National Lakeshore,Sleeping Bear Dunes National Lakeshore (SLBE)
SPAR,Springfield Armory National Historic Site,Springfield Armory National Historic Site (SPAR)
STLI,Statue of Liberty National Monument,Statue of Liberty National Monument (STLI)
STGE,Ste. Genevieve National Historical Park,Ste. Genevieve National Historical Park (STGE)
STEA,Steamtown National Historic Site,Steamtown National Historic Site (STEA)
STRI,Stones River National Battlefield,Stones River National Battlefield (STRI)
STON,Stonewall National Monument,Stonewall National Monument (STON)
SUCR,Sunset Crater Volcano National Monument,Sunset Crater Volcano National Monument (SUCR)
TAPR,Tallgrass Prairie National Preserve,Tallgrass Prairie National Preserve (TAPR)
THKO,Thaddeus Kosciuszko National Memorial,Thaddeus Kosciuszko National Memorial (THKO)
THRB,Theodore Roosevelt Birthplace National Historic Site,Theodore Roosevelt Birthplace National Historic Site (THRB)
THRI,Theodore Roosevelt Inaugural National Historic Site,Theodore Roosevelt Inaugural National Historic Site (THRI)
THIS,Theodore Roosevelt Island,Theodore Roosevelt Island (THIS)
THRO,Theodore Roosevelt National Park,Theodore Roosevelt National Park (THRO)
EDIS,Thomas Edison National Historical Park,Thomas Edison National Historical Park (EDIS)
JEFM,Thomas Jefferson Memorial,Thomas Jefferson Memorial (JEFM)
THST,Thomas Stone National Historic Site,Thomas Stone National Historic Site (THST)
TICA,Timpanogos Cave National Monument,Timpanogos Cave National Monument (TICA)
TIMU,Timucuan Ecological and Historic Preserve,Timucuan Ecological and Historic Preserve (TIMU)
TONT,Tonto National Monument,Tonto National Monument (TONT)
TULE,Tule Lake National Monument,Tule Lake National Monument (TULE)
TUSK,Tule Springs Fossil Beds National Monument,Tule Springs Fossil Beds National Monument (TUSK)
TUMA,Tumacacori National Historical Park,Tumacacori National Historical Park (TUMA)
TUPE,Tupelo National Battlefield,Tupelo National Battlefield (TUPE)
TUAI,Tuskegee Airmen National Historic Site,Tuskegee Airmen National Historic Site (TUAI)
TUIN,Tuskegee Institute National Historic Site,Tuskegee Institute National Historic Site (TUIN)
TUZI,Tuzigoot National Monument,Tuzigoot National Monument (TUZI)
ULSG,Ulysses S. Grant National Historic Site,Ulysses S. Grant National Historic Site (ULSG)
UPDE,Upper Delaware Scenic and Recreational River,Upper Delaware Scenic and Recreational River (UPDE)
VALL,Valles Caldera National Preserve,Valles Caldera National Preserve (VALL)
VAFO,Valley Forge National Historical Park,Valley Forge National Historical Park (VAFO)
VAMA,Vanderbilt Mansion National Historic Site,Vanderbilt Mansion National Historic Site (VAMA)
VICK,Vicksburg National Military Park,Vicksburg National Military Park (VICK)
VIVE,Vietnam Veterans Memorial,Vietnam Veterans Memorial (VIVE)
VICR,Virgin Islands Coral Reef National Monument,Virgin Islands Coral Reef National Monument (VICR)
VIIS,Virgin Islands National Park,Virgin Islands National Park (VIIS)
VOYA,Voyageurs National Park,Voyageurs National Park (VOYA)
WACO,Waco Mammoth National Monument,Waco Mammoth National Monument (WACO)
WACA,Walnut Canyon National Monument,Walnut Canyon National Monument (WACA)
WAPA,War in the Pacific National Historical Park,War in the Pacific National Historical Park (WAPA)
WAMO,Washington Monument,Washington Monument (WAMO)
WABA,Washita Battlefield National Historic Site,Washita Battlefield National Historic Site (WABA)
WEFA,Weir Farm National Historical Park,Weir Farm National Historical Park (WEFA)
WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,Whiskeytown-Shasta-Trinity National Recreation Area (WHIS)
WHHO,White House,White House (WHHO)
WHSA,White Sands National Park,White Sands National Park (WHSA)
WHMI,Whitman Mission National Historic Site,Whitman Mission National Historic Site (WHMI)
WIHO,William Howard Taft National Historic Site,William Howard Taft National Historic Site (WIHO)
WICR,Wilson's Creek National Battlefield,Wilson's Creek National Battlefield (WICR)
WICA,Wind Cave National Park,Wind Cave National Park (WICA)
WOTR,Wolf Trap National Park for the Performing Arts,Wolf Trap National Park for the Performing Arts (WOTR)
WORI,Women's Rights National Historical Park,Women's Rights National Historical Park (WORI)
WWIM,World War I Memorial,World War I Memorial (WWIM)
WWII,World War II Memorial,World War II Memorial (WWII)
WRST,Wrangell-St. Elias National Park and Preserve,Wrangell-St. Elias National Park and Preserve (WRST)
WRBR,Wright Brothers National Memorial,Wright Brothers National Memorial (WRBR)
WUPA,Wupatki National Monument,Wupatki National Monument (WUPA)
YELL,Yellowstone National Park,Yellowstone National Park (YELL)
YOSE,Yosemite National Park,Yosemite National Park (YOSE)
YUHO,Yucca House National Monument,Yucca House National Monument (YUHO)
YUCH,Yukon-Charley Rivers National Preserve,Yukon-Charley Rivers National Preserve (YUCH)
ZION,Zion National Park,Zion National Park (ZION)
